"Kód štátu";"Kód oblasti";"Názov štátu";"Názov oblasti";"Pohlavie";"Ekonomické vekové skupiny";"Vzdelanie";"abs."
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné;85657
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou všeobecné;31197
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie (bližšie neuvedené);7
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);18732
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);5097
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);4360
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;produktívny vek (15-64 rokov);vysokoškolské vzdelanie (bližšie neuvedené);23
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;produktívny vek (15-64 rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);20995
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";88387
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";4546
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;produktívny vek (15-64 rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;1425
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;poproduktívny vek (65 a viac rokov);nezistené;3513
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie (bližšie neuvedené);404
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie - 1. stupeň základnej školy;4001
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie - 2. stupeň základnej školy;34946
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);5575
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;25245
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;4365
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);226
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;4647
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné;24317
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou všeobecné;8386
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);3718
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);2118
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);1254
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie (bližšie neuvedené);16
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);513
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";11165
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";660
SK0;SK03;Slovenská republika;Stredné Slovensko;žena;poproduktívny vek (65 a viac rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;277
SK0;SK04;Slovenská republika;Východné Slovensko;muž;predproduktívny vek (0-14 rokov);nezistené;3290
SK0;SK04;Slovenská republika;Východné Slovensko;muž;predproduktívny vek (0-14 rokov);základné vzdelanie (bližšie neuvedené);1
SK0;SK04;Slovenská republika;Východné Slovensko;muž;predproduktívny vek (0-14 rokov);základné vzdelanie - 1. stupeň základnej školy;36535
SK0;SK04;Slovenská republika;Východné Slovensko;muž;predproduktívny vek (0-14 rokov);základné vzdelanie - 2. stupeň základnej školy;5
SK0;SK04;Slovenská republika;Východné Slovensko;muž;predproduktívny vek (0-14 rokov);bez ukončeného vzdelania – osoby vo veku 0-14 rokov;105701
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);nezistené;31919
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);základné vzdelanie (bližšie neuvedené);1277
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);základné vzdelanie - 1. stupeň základnej školy;19029
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);základné vzdelanie - 2. stupeň základnej školy;75468
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);1333
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);10153
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;101724
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;12341
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);191
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;47917
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné;85392
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou všeobecné;24529
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie (bližšie neuvedené);2
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);23804
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);2654
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);2431
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);vysokoškolské vzdelanie (bližšie neuvedené);36
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);13946
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";77338
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";5047
SK0;SK04;Slovenská republika;Východné Slovensko;muž;produktívny vek (15-64 rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;2902
SK0;SK04;Slovenská republika;Východné Slovensko;muž;poproduktívny vek (65 a viac rokov);nezistené;3668
SK0;SK04;Slovenská republika;Východné Slovensko;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie (bližšie neuvedené);155
SK0;SK04;Slovenská republika;Východné Slovensko;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie - 1. stupeň základnej školy;1734
SK0;SK04;Slovenská republika;Východné Slovensko;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie - 2. stupeň základnej školy;9196
SK0;SK04;Slovenská republika;Východné Slovensko;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);8
SK0;SK04;Slovenská republika;Východné Slovensko;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);2394
SK0;SK04;Slovenská republika;Východné Slovensko;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;32460
SK0;SK04;Slovenská republika;Východné Slovensko;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;2502
SK0;SK04;Slovenská republika;Východné Slovensko;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);211
SK0;SK04;Slovenská republika;Východné Slovensko;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;6196
SK0;SK04;Slovenská republika;Východné Slovensko;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné;15636
SK0;SK04;Slovenská republika;Východné Slovensko;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou všeobecné;2648
SK0;SK04;Slovenská republika;Východné Slovensko;muž;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);3014
SK0;SK04;Slovenská republika;Východné Slovensko;muž;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);746
SK0;SK04;Slovenská republika;Východné Slovensko;muž;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);946
SK0;SK04;Slovenská republika;Východné Slovensko;muž;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie (bližšie neuvedené);13
SK0;SK04;Slovenská republika;Východné Slovensko;muž;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);458
SK0;SK04;Slovenská republika;Východné Slovensko;muž;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";13793
SK0;SK04;Slovenská republika;Východné Slovensko;muž;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";1501
SK0;SK04;Slovenská republika;Východné Slovensko;muž;poproduktívny vek (65 a viac rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;166
SK0;SK04;Slovenská republika;Východné Slovensko;žena;predproduktívny vek (0-14 rokov);nezistené;3055
SK0;SK04;Slovenská republika;Východné Slovensko;žena;predproduktívny vek (0-14 rokov);základné vzdelanie - 1. stupeň základnej školy;35681
SK0;SK04;Slovenská republika;Východné Slovensko;žena;predproduktívny vek (0-14 rokov);základné vzdelanie - 2. stupeň základnej školy;17
SK0;SK04;Slovenská republika;Východné Slovensko;žena;predproduktívny vek (0-14 rokov);bez ukončeného vzdelania – osoby vo veku 0-14 rokov;100346
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);nezistené;24552
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);základné vzdelanie (bližšie neuvedené);1203
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);základné vzdelanie - 1. stupeň základnej školy;18605
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);základné vzdelanie - 2. stupeň základnej školy;77347
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);502
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);8362
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;63844
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;9683
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);178
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;26051
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné;91586
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou všeobecné;34350
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie (bližšie neuvedené);5
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);19973
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);5979
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);4686
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);vysokoškolské vzdelanie (bližšie neuvedené);27
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);24370
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";104098
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";5365
SK0;SK04;Slovenská republika;Východné Slovensko;žena;produktívny vek (15-64 rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;2313
SK0;SK04;Slovenská republika;Východné Slovensko;žena;poproduktívny vek (65 a viac rokov);nezistené;4562
SK0;SK04;Slovenská republika;Východné Slovensko;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie (bližšie neuvedené);399
SK0;SK04;Slovenská republika;Východné Slovensko;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie - 1. stupeň základnej školy;4839
SK0;SK04;Slovenská republika;Východné Slovensko;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie - 2. stupeň základnej školy;36016
SK0;SK04;Slovenská republika;Východné Slovensko;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);5862
SK0;SK04;Slovenská republika;Východné Slovensko;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;26930
SK0;SK04;Slovenská republika;Východné Slovensko;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;4371
SK0;SK04;Slovenská republika;Východné Slovensko;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);238
SK0;SK04;Slovenská republika;Východné Slovensko;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;4882
SK0;SK04;Slovenská republika;Východné Slovensko;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné;27298
SK0;SK04;Slovenská republika;Východné Slovensko;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou všeobecné;10616
SK0;SK04;Slovenská republika;Východné Slovensko;žena;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);4084
SK0;SK04;Slovenská republika;Východné Slovensko;žena;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);2344
SK0;SK04;Slovenská republika;Východné Slovensko;žena;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);1258
SK0;SK04;Slovenská republika;Východné Slovensko;žena;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie (bližšie neuvedené);25
SK0;SK04;Slovenská republika;Východné Slovensko;žena;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);524
SK0;SK04;Slovenská republika;Východné Slovensko;žena;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";11104
SK0;SK04;Slovenská republika;Východné Slovensko;žena;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";774
SK0;SK04;Slovenská republika;Východné Slovensko;žena;poproduktívny vek (65 a viac rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;433
